epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,340.321,0,9.06398,0,0,0,0,0,0,0,0,0.00333257,0.00333257,0.00333257
2,656.108,0,0,0,0,0,0,0,0,0,0,0.00653392,0.00653392,0.00653392
3,963.276,0,0,0,0,0,0,0,0,0,0,0.00960327,0.00960327,0.00960327
4,1265.48,0,0,0,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
5,1568.48,0,0,0,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
6,1872.19,0,0,0,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
7,2176.87,0,0,0,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
8,2480.74,0,0,0,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
9,2783.63,0,0,0,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
10,3087.85,0,0,0,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
11,3390.64,0,0,0,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
12,3694.78,0,0,0,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
13,3997.98,0,0,0,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
14,4302.91,0,0,0,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
15,4607.56,0,0,0,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
16,4912.65,0,0,0,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
17,5218.38,0,0,0,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
18,5524.51,0,0,0,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
19,5830.68,0,0,0,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
20,6136.81,0,0,0,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
21,6443.12,0,0,0,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
22,6749.12,0,0,0,0,0,0,0,0,0,0,0.005842,0.005842,0.005842
23,7054.35,0,0,0,0,0,0,0,0,0,0,0.005644,0.005644,0.005644
24,7360.98,0,0,0,0,0,0,0,0,0,0,0.005446,0.005446,0.005446
25,7666.44,0,0,0,0,0,0,0,0,0,0,0.005248,0.005248,0.005248
26,7972,0,0,0,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
27,8278.31,0,0,0,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
28,8585.08,0,0,0,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
29,8892.84,0,0,0,0,0,0,0,0,0,0,0.004456,0.004456,0.004456
30,9200.4,0,0,0,0,0,0,0,0,0,0,0.004258,0.004258,0.004258
31,9507.13,0,0,0,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
32,9814.28,0,0,0,0,0,0,0,0,0,0,0.003862,0.003862,0.003862
33,10119.9,0,0,0,0,0,0,0,0,0,0,0.003664,0.003664,0.003664
34,10426.7,0,0,0,0,0,0,0,0,0,0,0.003466,0.003466,0.003466
35,10733.7,0,0,0,0,0,0,0,0,0,0,0.003268,0.003268,0.003268
36,11041.8,0,0,0,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
37,11348.4,0,0,0,0,0,0,0,0,0,0,0.002872,0.002872,0.002872
38,11655.3,0,0,0,0,0,0,0,0,0,0,0.002674,0.002674,0.002674
39,11962.7,0,0,0,0,0,0,0,0,0,0,0.002476,0.002476,0.002476
40,12270.4,0,0,0,0,0,0,0,0,0,0,0.002278,0.002278,0.002278
41,12576.3,0,0,0,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
42,12881.8,0,0,0,0,0,0,0,0,0,0,0.001882,0.001882,0.001882
43,13187.2,0,0,0,0,0,0,0,0,0,0,0.001684,0.001684,0.001684
44,13491.8,0,0,0,0,0,0,0,0,0,0,0.001486,0.001486,0.001486
45,13794.7,0,0,0,0,0,0,0,0,0,0,0.001288,0.001288,0.001288
46,14098.9,0,0,0,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
47,14403.1,0,0,0,0,0,0,0,0,0,0,0.000892,0.000892,0.000892
48,14708.1,0,0,0,0,0,0,0,0,0,0,0.000694,0.000694,0.000694
49,15011.6,0,0,0,0,0,0,0,0,0,0,0.000496,0.000496,0.000496
50,15314.8,0,0,0,0,0,0,0,0,0,0,0.000298,0.000298,0.000298
